Id,Neighborhood,MS Zoning_RM,Land Contour_HLS,Roof Style_Mansard,Exterior 1st_BrkFace,Bsmt Exposure_Gd,Functional_Typ,Sale Type_New,MS SubClass Kitchen AbvGr,Lot Frontage Overall Qual,Lot Area Overall Qual,Lot Area Screen Porch,Lot Area Heating QC,Overall Qual^2,Overall Qual Gr Liv Area,Overall Qual Bsmt Full Bath,Overall Qual TotRms AbvGrd,Overall Qual Fireplaces,Overall Qual Garage Area,Overall Qual Exter Qual,Overall Qual age_when_sold,Overall Cond Total Bsmt SF,Overall Cond 1st Flr SF,Overall Cond Gr Liv Area,Year Remod/Add^2,Mas Vnr Area Garage Cars,Mas Vnr Area Pool Area,Mas Vnr Area Misc Val,BsmtFin SF 1 Garage Cars,BsmtFin SF 1 Mo Sold,BsmtFin SF 1 Heating QC,BsmtFin SF 2 Pool Area,Total Bsmt SF Garage Cars,1st Flr SF Heating QC,Gr Liv Area Heating QC,Gr Liv Area Kitchen Qual,Bsmt Full Bath Exter Qual,Bsmt Half Bath Misc Val,Full Bath Wood Deck SF,Kitchen AbvGr age_when_sold,Fireplaces Garage Cars,Fireplaces Exter Qual,Garage Area Kitchen Qual,Kitchen Qual age_when_sold,Exter Qual age_when_sold
720,0,1,0,0,0,0,1,0,70.0,968.0,141368.0,0.0,70684.0,64.0,13936.0,0.0,64.0,8.0,3392.0,24.0,1016.0,8244.0,8244.0,15678.0,3944196.0,0.0,0.0,0.0,432.0,2376.0,864.0,0.0,1832.0,3664.0,6968.0,5226.0,0.0,0.0,0.0,127.0,2.0,3.0,1272.0,381.0,381.0
222,0,0,0,0,0,0,1,0,20.0,338.0470162748644,41230.0,0.0,41230.0,25.0,5300.0,5.0,30.0,5.0,1350.0,10.0,210.0,8480.0,8480.0,8480.0,4004001.0,0.0,0.0,0.0,188.0,940.0,940.0,0.0,1060.0,5300.0,5300.0,3180.0,2.0,0.0,406.0,42.0,1.0,2.0,810.0,126.0,84.0
557,0,0,0,0,0,0,1,0,20.0,407.26190476190476,42495.0,0.0,42495.0,25.0,4320.0,5.0,25.0,0.0,3660.0,10.0,240.0,5184.0,5184.0,5184.0,3845521.0,0.0,0.0,0.0,1320.0,3960.0,3300.0,0.0,1728.0,4320.0,4320.0,1728.0,2.0,0.0,0.0,48.0,0.0,0.0,1464.0,96.0,96.0
1148,1,0,0,0,0,0,1,0,120.0,300.0,48072.0,0.0,40060.0,36.0,9702.0,6.0,30.0,6.0,3198.0,18.0,90.0,8020.0,8085.0,8085.0,3976036.0,0.0,0.0,0.0,330.0,1155.0,825.0,0.0,3208.0,8085.0,8085.0,4851.0,3.0,0.0,0.0,15.0,2.0,3.0,1599.0,45.0,45.0
2766,1,0,0,0,0,1,1,0,80.0,358.3636363636364,128718.0,0.0,107265.0,36.0,5928.0,6.0,24.0,12.0,3240.0,12.0,222.0,4690.0,4940.0,4940.0,3876961.0,0.0,0.0,0.0,1876.0,9380.0,4690.0,0.0,1876.0,4940.0,4940.0,1976.0,2.0,0.0,0.0,37.0,4.0,4.0,1080.0,74.0,74.0
534,1,0,0,0,0,0,1,0,20.0,560.0,67235.0,0.0,48025.0,49.0,8526.0,0.0,42.0,0.0,4032.0,21.0,14.0,7308.0,7308.0,7308.0,4028049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2436.0,6090.0,6090.0,3654.0,0.0,0.0,0.0,2.0,0.0,0.0,1728.0,6.0,6.0
1452,1,0,0,0,0,0,1,0,20.0,300.0,35900.0,0.0,21540.0,25.0,4320.0,0.0,25.0,0.0,1760.0,10.0,180.0,6048.0,6048.0,6048.0,3888784.0,0.0,0.0,0.0,390.0,1950.0,1170.0,0.0,864.0,2592.0,2592.0,1728.0,0.0,0.0,0.0,36.0,0.0,0.0,704.0,72.0,72.0
630,0,0,0,0,0,0,1,0,50.0,250.5,50052.0,0.0,50052.0,16.0,6952.0,0.0,28.0,4.0,1472.0,8.0,356.0,2860.0,5124.0,6952.0,4028049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,5124.0,6952.0,3476.0,0.0,0.0,110.0,89.0,1.0,2.0,736.0,178.0,178.0
2648,0,1,0,0,0,0,1,0,70.0,250.0,45000.0,0.0,27000.0,25.0,8750.0,0.0,40.0,0.0,1200.0,10.0,630.0,3816.0,6534.0,10500.0,3964081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,3267.0,5250.0,7000.0,0.0,0.0,0.0,126.0,0.0,0.0,960.0,504.0,252.0
125,0,0,0,0,0,1,1,0,85.0,480.0,52800.0,0.0,44000.0,36.0,6324.0,6.0,36.0,0.0,2880.0,12.0,282.0,6552.0,7378.0,7378.0,3853369.0,312.0,0.0,0.0,1526.0,3815.0,3815.0,0.0,1872.0,5270.0,5270.0,3162.0,2.0,0.0,120.0,47.0,0.0,0.0,1440.0,141.0,94.0
1904,0,0,0,0,0,0,1,0,50.0,153.0,10500.0,0.0,10500.0,9.0,2010.0,3.0,12.0,0.0,0.0,6.0,186.0,1850.0,2210.0,3350.0,3802500.0,0.0,0.0,0.0,0.0,1008.0,432.0,0.0,0.0,1326.0,2010.0,670.0,2.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,124.0
1670,0,0,0,0,0,0,1,0,20.0,270.4376130198915,29360.0,0.0,22020.0,16.0,3432.0,0.0,16.0,0.0,2736.0,8.0,144.0,5148.0,5148.0,5148.0,3884841.0,0.0,0.0,0.0,322.0,1932.0,966.0,0.0,858.0,2574.0,2574.0,1716.0,0.0,0.0,0.0,36.0,0.0,0.0,1368.0,72.0,72.0
756,0,1,0,0,0,0,1,0,30.0,208.0,24960.0,0.0,18720.0,16.0,4832.0,0.0,20.0,0.0,2156.0,8.0,336.0,3900.0,4240.0,6040.0,3802500.0,0.0,0.0,0.0,304.0,152.0,456.0,0.0,1560.0,2544.0,3624.0,2416.0,0.0,0.0,0.0,84.0,0.0,0.0,1078.0,168.0,168.0
717,0,1,0,1,0,0,1,0,70.0,455.0,81900.0,0.0,35100.0,49.0,18480.0,0.0,56.0,7.0,6048.0,21.0,903.0,8680.0,9240.0,18480.0,4012009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4960.0,3960.0,7920.0,7920.0,0.0,0.0,181.0,129.0,4.0,3.0,2592.0,387.0,387.0
1032,1,0,0,0,0,0,1,0,20.0,400.0,50000.0,0.0,40000.0,25.0,5890.0,0.0,25.0,5.0,2195.0,10.0,175.0,7056.0,7068.0,7068.0,4000000.0,0.0,0.0,0.0,2168.0,11924.0,4336.0,0.0,2352.0,4712.0,4712.0,3534.0,0.0,0.0,224.0,35.0,2.0,2.0,1317.0,105.0,70.0
852,1,0,0,0,0,0,1,0,20.0,525.0,78162.0,1875888.0,55830.0,49.0,10444.0,0.0,42.0,7.0,4256.0,21.0,56.0,7460.0,7460.0,7460.0,4004001.0,360.0,0.0,0.0,48.0,168.0,120.0,0.0,2984.0,7460.0,7460.0,4476.0,0.0,0.0,0.0,8.0,2.0,3.0,1824.0,24.0,24.0
1731,1,0,0,0,0,0,1,1,60.0,406.0,92428.0,0.0,66020.0,49.0,10206.0,0.0,42.0,0.0,3178.0,14.0,7.0,3040.0,3040.0,7290.0,4028049.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,3040.0,7290.0,4374.0,0.0,0.0,200.0,1.0,0.0,0.0,1362.0,3.0,2.0
2639,0,1,0,0,0,0,1,0,50.0,240.0,22080.0,0.0,16560.0,16.0,6628.0,0.0,36.0,4.0,648.0,8.0,344.0,6882.0,6882.0,9942.0,3920400.0,0.0,0.0,0.0,284.0,1988.0,852.0,0.0,1147.0,3441.0,4971.0,1657.0,0.0,0.0,0.0,86.0,1.0,2.0,162.0,86.0,172.0
2071,0,0,0,0,0,0,0,0,20.0,270.4376130198915,36000.0,0.0,27000.0,16.0,3992.0,0.0,20.0,0.0,1840.0,4.0,248.0,0.0,6986.0,6986.0,3802500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994.0,2994.0,1996.0,0.0,0.0,0.0,62.0,0.0,0.0,920.0,124.0,62.0
1267,0,0,0,0,0,0,1,0,20.0,370.0,44460.0,0.0,35568.0,25.0,4550.0,0.0,25.0,0.0,2070.0,15.0,275.0,735.0,6370.0,6370.0,3984016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,3640.0,3640.0,2730.0,0.0,0.0,196.0,55.0,0.0,0.0,1242.0,165.0,165.0
1851,1,0,0,0,0,0,1,0,20.0,511.0,51247.0,0.0,36605.0,49.0,9506.0,0.0,35.0,0.0,4375.0,21.0,56.0,6695.0,6790.0,6790.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2678.0,6790.0,6790.0,4074.0,0.0,0.0,352.0,8.0,0.0,0.0,1875.0,24.0,24.0
567,1,0,0,0,0,0,1,1,160.0,240.0,23706.0,0.0,19755.0,36.0,7344.0,0.0,24.0,0.0,3168.0,18.0,0.0,3060.0,3060.0,6120.0,4036081.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.0,3060.0,6120.0,3672.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,0.0
2439,1,0,0,0,0,0,1,0,60.0,570.1666666666666,78498.0,0.0,44856.0,49.0,13202.0,0.0,70.0,7.0,3017.0,21.0,56.0,4650.0,4780.0,9430.0,3996001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.0,3824.0,7544.0,5658.0,0.0,0.0,178.0,8.0,2.0,3.0,1293.0,24.0,24.0
1898,0,0,0,0,0,0,1,0,20.0,375.0,36940.0,0.0,29552.0,25.0,6635.0,5.0,35.0,0.0,3120.0,10.0,240.0,6378.0,7962.0,7962.0,4008004.0,0.0,0.0,0.0,810.0,2835.0,1620.0,0.0,2126.0,5308.0,5308.0,3981.0,2.0,0.0,0.0,48.0,0.0,0.0,1872.0,144.0,96.0
647,0,0,0,0,0,0,0,0,20.0,375.0,72795.0,2445912.0,72795.0,25.0,6815.0,5.0,30.0,10.0,1440.0,15.0,290.0,7056.0,9541.0,9541.0,4000000.0,70.0,0.0,140000.0,650.0,3900.0,3250.0,0.0,1008.0,6815.0,6815.0,2726.0,3.0,0.0,324.0,58.0,2.0,6.0,576.0,116.0,174.0
2256,1,0,0,0,0,0,1,0,120.0,322.0,28378.0,0.0,20270.0,49.0,10507.0,7.0,35.0,14.0,3584.0,21.0,140.0,9006.0,9006.0,9006.0,3948169.0,704.0,0.0,0.0,1898.0,9490.0,4745.0,0.0,3002.0,7505.0,7505.0,4503.0,3.0,0.0,480.0,20.0,4.0,6.0,1536.0,60.0,60.0
979,0,1,0,0,0,0,1,0,160.0,84.0,6132.0,0.0,4599.0,16.0,5376.0,0.0,24.0,4.0,0.0,8.0,156.0,3276.0,4788.0,8064.0,4032064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394.0,4032.0,2688.0,0.0,0.0,0.0,39.0,0.0,2.0,0.0,78.0,78.0
1444,1,0,0,0,0,0,1,0,60.0,476.0,78750.0,0.0,56250.0,49.0,12502.0,7.0,42.0,7.0,4256.0,21.0,49.0,4600.0,4600.0,8930.0,4008004.0,324.0,0.0,0.0,972.0,4374.0,2430.0,0.0,1840.0,4600.0,8930.0,5358.0,3.0,0.0,0.0,7.0,2.0,3.0,1824.0,21.0,21.0
2485,1,0,0,0,0,0,1,0,20.0,300.0,39000.0,0.0,31200.0,25.0,4825.0,5.0,30.0,0.0,1500.0,10.0,205.0,4140.0,4825.0,4825.0,3861225.0,0.0,0.0,0.0,641.0,4487.0,2564.0,0.0,828.0,3860.0,3860.0,1930.0,2.0,0.0,421.0,41.0,0.0,0.0,600.0,82.0,82.0
157,0,0,0,0,0,0,1,0,20.0,370.0,29340.0,938880.0,29340.0,25.0,4680.0,5.0,20.0,0.0,1540.0,10.0,270.0,6552.0,6552.0,6552.0,4000000.0,0.0,0.0,0.0,248.0,1240.0,1240.0,0.0,936.0,4680.0,4680.0,1872.0,2.0,0.0,0.0,54.0,0.0,0.0,616.0,108.0,108.0
88,0,0,0,0,0,0,1,0,20.0,375.0,37500.0,0.0,15000.0,25.0,5200.0,5.0,25.0,0.0,1540.0,10.0,235.0,5200.0,5200.0,5200.0,3853369.0,0.0,0.0,0.0,824.0,4944.0,1648.0,0.0,1040.0,2080.0,2080.0,2080.0,2.0,0.0,0.0,47.0,0.0,0.0,616.0,94.0,94.0
2003,0,1,0,0,0,0,1,0,50.0,260.0,47195.0,0.0,37756.0,25.0,6240.0,0.0,30.0,0.0,800.0,10.0,385.0,4560.0,4560.0,6240.0,3802500.0,0.0,0.0,0.0,324.0,972.0,1296.0,0.0,912.0,3648.0,4992.0,2496.0,0.0,0.0,0.0,77.0,0.0,0.0,320.0,154.0,154.0
186,0,1,0,0,0,0,1,0,70.0,400.0,72000.0,0.0,45000.0,64.0,18144.0,0.0,56.0,0.0,4992.0,24.0,960.0,3114.0,10413.0,20412.0,4008004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,5785.0,11340.0,6804.0,0.0,0.0,0.0,120.0,0.0,0.0,1872.0,360.0,360.0
1425,1,0,0,0,0,0,1,0,20.0,520.0,74760.0,0.0,46725.0,64.0,12920.0,0.0,56.0,8.0,6912.0,24.0,8.0,8075.0,8075.0,8075.0,4028049.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,4845.0,8075.0,8075.0,4845.0,0.0,0.0,336.0,1.0,3.0,3.0,2592.0,3.0,3.0
2695,0,1,0,0,0,0,1,0,50.0,300.0,36000.0,0.0,36000.0,25.0,6800.0,0.0,30.0,0.0,1485.0,10.0,340.0,4818.0,4818.0,8160.0,3980025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,4015.0,6800.0,4080.0,0.0,0.0,0.0,68.0,0.0,0.0,891.0,204.0,136.0
738,0,1,0,0,0,0,1,0,50.0,300.0,30000.0,0.0,24000.0,25.0,5710.0,0.0,30.0,0.0,1600.0,10.0,425.0,2340.0,4110.0,5710.0,3802500.0,444.0,0.0,0.0,220.0,1320.0,880.0,0.0,468.0,3288.0,4568.0,2284.0,0.0,0.0,0.0,85.0,0.0,0.0,640.0,170.0,170.0
395,0,0,0,0,0,0,1,0,20.0,366.0,47580.0,0.0,31720.0,36.0,6156.0,6.0,30.0,0.0,2640.0,12.0,240.0,8208.0,8208.0,8208.0,4020025.0,0.0,0.0,0.0,878.0,3073.0,1756.0,0.0,2052.0,4104.0,4104.0,3078.0,2.0,0.0,171.0,40.0,0.0,0.0,1320.0,120.0,80.0
1353,0,0,0,0,0,0,1,0,50.0,420.0,63840.0,0.0,45600.0,49.0,12740.0,7.0,56.0,0.0,1680.0,14.0,581.0,6156.0,6798.0,10920.0,3802500.0,0.0,0.0,0.0,329.0,1974.0,1645.0,0.0,1026.0,5665.0,9100.0,3640.0,2.0,0.0,0.0,83.0,0.0,0.0,480.0,166.0,166.0
1878,0,0,0,0,0,0,0,0,20.0,338.0470162748644,47515.0,0.0,28509.0,25.0,6720.0,5.0,30.0,5.0,2420.0,10.0,245.0,5120.0,6720.0,6720.0,3932289.0,0.0,0.0,0.0,457.0,2742.0,1371.0,0.0,1024.0,4032.0,4032.0,2688.0,2.0,0.0,316.0,49.0,1.0,2.0,968.0,98.0,98.0
390,1,0,0,0,0,0,1,0,20.0,595.0,77350.0,0.0,22100.0,49.0,8351.0,0.0,35.0,7.0,3542.0,14.0,238.0,5880.0,5965.0,5965.0,3900625.0,0.0,0.0,0.0,1272.0,5088.0,1272.0,0.0,2352.0,2386.0,2386.0,2386.0,0.0,0.0,80.0,34.0,2.0,2.0,1012.0,68.0,68.0
1456,1,0,0,0,0,0,1,0,60.0,473.2658227848101,72212.0,0.0,51580.0,49.0,13055.0,7.0,49.0,7.0,5873.0,21.0,56.0,4960.0,4960.0,9325.0,4000000.0,0.0,0.0,0.0,2205.0,4410.0,3675.0,0.0,2976.0,4960.0,9325.0,5595.0,3.0,0.0,0.0,8.0,3.0,3.0,2517.0,24.0,24.0
1103,1,0,0,0,0,0,1,0,20.0,1088.0,93400.0,0.0,58375.0,64.0,16048.0,8.0,40.0,8.0,7504.0,24.0,80.0,9910.0,10030.0,10030.0,3992004.0,1485.0,0.0,0.0,4980.0,11620.0,8300.0,0.0,5946.0,10030.0,10030.0,6018.0,3.0,0.0,288.0,10.0,3.0,3.0,2814.0,30.0,30.0
1387,0,0,0,0,1,0,1,0,190.0,300.0,64500.0,0.0,25800.0,25.0,5700.0,5.0,30.0,0.0,2000.0,10.0,440.0,5200.0,4560.0,4560.0,3802500.0,0.0,0.0,0.0,2600.0,1300.0,2600.0,0.0,2600.0,2280.0,2280.0,2280.0,2.0,0.0,0.0,88.0,0.0,0.0,800.0,176.0,176.0
2070,0,0,0,0,0,0,1,0,20.0,425.0,68850.0,0.0,41310.0,25.0,5880.0,5.0,30.0,10.0,1515.0,10.0,245.0,6948.0,7056.0,7056.0,3992004.0,340.0,0.0,0.0,190.0,1900.0,570.0,0.0,1158.0,3528.0,3528.0,2352.0,2.0,0.0,0.0,49.0,2.0,4.0,606.0,98.0,98.0
1199,1,0,0,0,0,0,1,0,60.0,473.2658227848101,93485.0,0.0,40065.0,49.0,11690.0,0.0,49.0,0.0,3248.0,14.0,259.0,4950.0,5070.0,10020.0,3884841.0,0.0,0.0,0.0,1166.0,2915.0,1749.0,0.0,1650.0,2535.0,5010.0,3340.0,0.0,0.0,0.0,37.0,0.0,0.0,928.0,74.0,74.0
2479,1,0,0,0,0,0,1,0,60.0,390.0,42918.0,0.0,35765.0,36.0,9618.0,0.0,42.0,0.0,2904.0,18.0,84.0,3805.0,4050.0,8015.0,3968064.0,0.0,0.0,0.0,774.0,2709.0,1935.0,0.0,1522.0,4050.0,8015.0,4809.0,0.0,0.0,0.0,14.0,0.0,0.0,1452.0,42.0,42.0
501,1,0,0,0,0,0,1,0,20.0,477.8181818181818,86000.0,0.0,53750.0,64.0,16504.0,8.0,56.0,16.0,6520.0,24.0,120.0,10120.0,10315.0,10315.0,3980025.0,1902.0,0.0,0.0,708.0,1416.0,1180.0,0.0,6072.0,10315.0,10315.0,6189.0,3.0,0.0,364.0,15.0,6.0,6.0,2445.0,45.0,45.0
2362,0,0,0,0,0,0,1,0,20.0,325.8095238095238,32500.0,0.0,24375.0,16.0,3432.0,0.0,20.0,0.0,0.0,8.0,140.0,3432.0,3432.0,3432.0,3884841.0,0.0,0.0,0.0,0.0,3684.0,1842.0,0.0,0.0,2574.0,2574.0,1716.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,70.0,70.0
1718,1,0,0,0,0,0,1,0,120.0,204.0,23418.0,0.0,19515.0,36.0,7812.0,6.0,30.0,6.0,3786.0,18.0,12.0,6510.0,6510.0,6510.0,4024036.0,364.0,0.0,0.0,2060.0,5150.0,5150.0,0.0,2604.0,6510.0,6510.0,3906.0,3.0,0.0,110.0,2.0,2.0,3.0,1893.0,6.0,6.0
2188,0,0,0,0,0,0,1,0,30.0,210.0,12810.0,0.0,21350.0,9.0,2322.0,0.0,18.0,0.0,0.0,6.0,228.0,3264.0,4644.0,4644.0,4024036.0,0.0,0.0,0.0,0.0,2720.0,2720.0,0.0,0.0,3870.0,3870.0,2322.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,228.0,152.0
